dub_temp,dub_wddir,dub_wdsp,date,dayInMonth,hour,dayOfWeek,dayOfYear,sin_hour,sin_day,cos_hour,cos_day,index,predictedGeneration,rawTemp
6.6786748103071944e+16,-1.0862417383592497e+18,-2.575279517689648e+16,2022-07-18 08:00:00+00:00,18,8,0,199,0.8660254037844387,-0.2802306751992161,0.8660254037844387,-0.2802306751992161,37,5.2798647e+20,
7.303912452123187e+16,-1.3287804471150364e+18,-2.304197463196001e+16,2022-07-18 09:00:00+00:00,18,9,0,199,0.7071067811865476,-0.2802306751992161,0.7071067811865476,-0.2802306751992161,38,6.354241e+20,26.5
7.843890415509726e+16,-1.4116996637836813e+18,-2.304197463196001e+16,2022-07-18 10:00:00+00:00,18,10,0,199,0.49999999999999994,-0.2802306751992161,0.49999999999999994,-0.2802306751992161,39,7.264246e+20,
8.213349022037358e+16,-1.4262105267006943e+18,-1.7620333542087066e+16,2022-07-18 11:00:00+00:00,18,11,0,199,0.258819045102521,-0.2802306751992161,0.258819045102521,-0.2802306751992161,40,7.540126e+20,27.1
9.179625377571165e+16,-3.2670171367446134e+18,-2.575279517689648e+16,2022-07-18 12:00:00+00:00,18,12,0,199,1.2246467991473532e-16,-0.2802306751992161,1.2246467991473532e-16,-0.2802306751992161,41,1.2586462e+21,
9.236465163190802e+16,-3.4660232567493617e+18,-5.557182117119766e+16,2022-07-18 13:00:00+00:00,18,13,0,199,-0.25881904510252035,-0.2802306751992161,-0.25881904510252035,-0.2802306751992161,42,1.815672e+21,27.4
9.151205484761349e+16,-3.847451653425129e+18,-4.337312871898355e+16,2022-07-18 14:00:00+00:00,18,14,0,199,-0.5000000000000001,-0.2802306751992161,-0.5000000000000001,-0.2802306751992161,43,1.9753345e+21,
9.094365699141712e+16,-4.3055803255193923e+18,-5.557182117119766e+16,2022-07-18 15:00:00+00:00,18,15,0,199,-0.7071067811865475,-0.2802306751992161,-0.7071067811865475,-0.2802306751992161,44,2.2037494e+21,27.1
8.923846342282805e+16,-4.347039933853715e+18,-4.337312871898355e+16,2022-07-18 16:00:00+00:00,18,16,0,199,-0.8660254037844384,-0.2802306751992161,-0.8660254037844384,-0.2802306751992161,45,2.3530329e+21,
8.838586663853352e+16,-4.5377541321915986e+18,-4.337312871898355e+16,2022-07-18 17:00:00+00:00,18,17,0,199,-0.9659258262890683,-0.2802306751992161,-0.9659258262890683,-0.2802306751992161,46,2.414772e+21,27.3
